Date : 2025-09-28 14:37:26
Directory : c:\Users\awa\Documents\coding\awasome-website-01
Total : 122 files,  11360 codes, 4095 comments, 2499 blanks, all 17954 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_reset.scss         | SCSS           |         50 |          6 |          2 |         58 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_theme.scss         | SCSS           |         58 |          4 |          5 |         67 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\_src\pages\awarium\cells.ts               | TypeScript     |        273 |        287 |         90 |        650 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\_src\pages\awarium\global.ts              | TypeScript     |         46 |         11 |         23 |         80 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\_src\pages\awarium\layers.ts              | TypeScript     |         89 |         11 |         35 |        135 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\_src\pages\awarium\main.ts                | TypeScript     |        134 |         69 |         72 |        275 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\afterBuild.js                             | JavaScript     |          0 |          7 |          5 |         12 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\cells.js                          | JavaScript     |        283 |        277 |          1 |        561 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\cells.ts                          | TypeScript     |        273 |        287 |         90 |        650 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\global.js                         | JavaScript     |         49 |         11 |          1 |         61 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\global.ts                         | TypeScript     |         46 |         11 |         23 |         80 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\index.html                        | Vento          |         31 |          0 |          8 |         39 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\layers.js                         | JavaScript     |         91 |          9 |          1 |        101 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\layers.ts                         | TypeScript     |         89 |         11 |         35 |        135 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\main.js                           | JavaScript     |        146 |         69 |          1 |        216 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\main.scss                         | SCSS           |         45 |          8 |          9 |         62 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\awarium\main.ts                           | TypeScript     |        134 |         69 |         72 |        275 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\beforeBuild.js                            | JavaScript     |          5 |         21 |         13 |         39 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\gamelooptest\index.html                   | Vento          |         16 |          0 |          6 |         22 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\gamelooptest\main.scss                    | SCSS           |         19 |          0 |          8 |         27 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\gamelooptest\main.ts                      | TypeScript     |        163 |         29 |         61 |        253 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\go\go.mod                                 | Go Module File |          2 |          0 |          2 |          4 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\go\wasm_exec.js                           | JavaScript     |        478 |         36 |         62 |        576 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\go\wasm_exec_types.d.ts                   | TypeScript     |         13 |          4 |          2 |         19 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\.12.js                               | JavaScript     |        212 |        353 |         74 |        639 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-1.js                        | JavaScript     |         77 |         90 |          1 |        168 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-1.ts                        | TypeScript     |         68 |         90 |         24 |        182 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-2.js                        | JavaScript     |          1 |         41 |          1 |         43 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-2.ts                        | TypeScript     |          1 |         41 |          4 |         46 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\_colors.scss                         | SCSS           |         77 |         16 |         24 |        117 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\index.html                           | Vento          |         14 |          0 |          1 |         15 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\template.js                          | JavaScript     |          7 |          0 |          7 |         14 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\test.js                              | JavaScript     |         75 |          5 |          9 |         89 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\test2.js                             | JavaScript     |        164 |          5 |         13 |        182 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\test3.js                             | JavaScript     |         14 |          2 |          4 |         20 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\util.js                              | JavaScript     |         37 |         49 |         25 |        111 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\.eleventy.js                    | JavaScript     |         37 |         47 |         18 |        102 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-plugin-image.js            | JavaScript     |        119 |         36 |         34 |        189 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-plugin-sass.js             | JavaScript     |         39 |         84 |         20 |        143 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-postprocessors.js          | JavaScript     |         31 |         14 |         15 |         60 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-preprocessors.js           | JavaScript     |         38 |         15 |          9 |         62 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-compile-util.js           | JavaScript     |         21 |         13 |         11 |         45 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-esbuild.js                | JavaScript     |         39 |         22 |         16 |         77 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-logger.js                 | JavaScript     |         45 |         25 |         20 |         90 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-wrapper.js                | JavaScript     |          0 |          9 |          2 |         11 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build.js                        | JavaScript     |         91 |         63 |         50 |        204 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\config.js                       | JavaScript     |         67 |         17 |         29 |        113 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\pages.11tydata.js                         | JavaScript     |          8 |         26 |          1 |         35 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\plugin_11ty_vento.js                      | JavaScript     |         33 |         41 |         13 |         87 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\print-dist-tree.js                        | JavaScript     |        149 |         43 |         72 |        264 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\index.html                       | Vento          |         13 |          0 |          5 |         18 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\main.js                          | JavaScript     |          3 |          0 |          1 |          4 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\main.scss                        | SCSS           |         16 |          0 |          8 |         24 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\main.ts                          | TypeScript     |          2 |          0 |          2 |          4 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\test.js                                   | JavaScript     |         14 |         79 |         39 |        132 |
| c:\Users\awa\Documents\coding\awasome-website-01\.github\workflows\build.yaml                            | YAML           |         43 |          9 |          6 |         58 |
| c:\Users\awa\Documents\coding\awasome-website-01\README.md                                               | Markdown       |         42 |         49 |         22 |        113 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-plugin-image.ts                             | TypeScript     |        131 |         34 |         32 |        197 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-plugin-sass.ts                              | TypeScript     |         41 |         49 |         15 |        105 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-postprocessors.ts                           | TypeScript     |         33 |         14 |         11 |         58 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-preprocessors.ts                            | TypeScript     |         41 |          8 |         10 |         59 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\build-esbuild.ts                                 | TypeScript     |         49 |          5 |         15 |         69 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\build-logger.ts                                  | TypeScript     |         63 |         24 |         24 |        111 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\build.ts                                         | TypeScript     |         63 |         14 |         31 |        108 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\config.js                                        | JavaScript     |        104 |         28 |         43 |        175 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\eleventy.ts                                      | TypeScript     |         61 |         15 |         18 |         94 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\kaomoji.js                                       | JavaScript     |      3,402 |          1 |          1 |      3,404 |
| c:\Users\awa\Documents\coding\awasome-website-01\engine\sunnymiku.js                                     | JavaScript     |        162 |         56 |         55 |        273 |
| c:\Users\awa\Documents\coding\awasome-website-01\scripts\ansi.js                                         | JavaScript     |         73 |         13 |         16 |        102 |
| c:\Users\awa\Documents\coding\awasome-website-01\scripts\merge-to-main.sh                                | Shell Script   |         74 |         33 |         23 |        130 |
| c:\Users\awa\Documents\coding\awasome-website-01\scripts\testinghiddenchar.js                            | JavaScript     |         11 |          1 |          4 |         16 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_base-styles.scss                        | SCSS           |         48 |          0 |          7 |         55 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_bundled.scss                            | SCSS           |          7 |          6 |          2 |         15 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_colors.scss                             | SCSS           |        140 |         46 |         66 |        252 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_fonts.scss                              | SCSS           |         18 |          3 |          4 |         25 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_functions.scss                          | SCSS           |         18 |          8 |         15 |         41 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_mixins.scss                             | SCSS           |          8 |          3 |          4 |         15 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_reset.scss                              | SCSS           |         77 |         25 |         12 |        114 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_theme.scss                              | SCSS           |          1 |         64 |          7 |         72 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_templates\logo-text.vto                         | Vento          |         22 |          0 |          7 |         29 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_templates\main-base.vto                         | Vento          |         40 |          9 |         11 |         60 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\_templates\theme-select.vto                      | Vento          |          8 |          0 |          0 |          8 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_gameloop.ts                            | TypeScript     |         83 |         10 |         24 |        117 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_inputtracking.ts                       | TypeScript     |         29 |         80 |         30 |        139 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_matrix.ts                              | TypeScript     |         98 |          6 |         18 |        122 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_updateloop.ts                          | TypeScript     |         56 |          5 |         16 |         77 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\core.ts                                 | TypeScript     |         95 |         30 |         48 |        173 |
