"filename", "language", "Vento", "SCSS", "TypeScript", "JavaScript", "Markdown", "Shell Script", "Go Module File", "YAML", "comment", "blank", "total"
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\gamelooptest\index.html", "Vento", 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\gamelooptest\main.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\gamelooptest\main.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 0, 0, 29, 61, 253
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\go\go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\go\wasm_exec.js", "JavaScript", 0, 0, 0, 478, 0, 0, 0, 0, 36, 62, 576
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\go\wasm_exec_types.d.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 2, 19
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\.12.js", "JavaScript", 0, 0, 0, 212, 0, 0, 0, 0, 353, 74, 639
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-1.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 90, 1, 168
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-1.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 90, 24, 182
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-2.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 41, 1, 43
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\Untitled-2.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 41, 4, 46
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\_colors.scss", "SCSS", 0, 77, 0, 0, 0, 0, 0, 0, 16, 24, 117
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\index.html", "Vento", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
